"matchday";"opponent";"result";"minutes played";"average rating";"total saves";"save%";"xg prevented";"name";"club";"apps";"player of the match";"clean sheets";"conceded";"saves parried";"saves held";"saves tipped";"penalties faced";"penalties saved";"xsave%";"gid"
"S1 MD1";"ATH";"4-2";90;7,2;3;66,67;0;"Tony Yeboah";"Inter London";1;0;0;2;1;2;1;1;0;80;5
"S1 MD1";"LON";"2-4";90;6;3;55,56;0;"Jannik Andersen";"Athênai F.C.";1;0;0;4;1;3;1;0;0;85;5
"S1 MD1";"HOL";"2-8";90;6,5;6;52,94;0;"Arcueid Brunestud";"FC Rio";1;0;0;8;2;5;2;0;0;85;6
"S1 MD1";"RIO";"8-2";90;6,8;0;50;0;"Scott Sterling";"Hollywood FC";1;0;0;2;0;2;0;0;0;77;6
"S1 MD1";"TOK";"2-0";90;7,6;2;100;0;"Radek Soboda";"Cairo City";1;0;1;0;1;2;0;0;0;91;7
"S1 MD1";"CAI";"0-2";90;6,5;2;71,43;0;"Pingu Nootazuki";"Tokyo S.C.";1;0;0;2;1;4;0;0;0;92;7
"S1 MD2";"CAI";"2-3";90;6,3;1;25;0;"Scott Sterling";"Hollywood FC";1;0;0;3;0;0;1;0;0;77;8
"S1 MD2";"HOL";"3-2";90;6,4;5;60;0;"Radek Soboda";"Cairo City";1;0;0;2;2;0;1;0;0;85;8
"S1 MD2";"ATH";"1-2";90;6,5;2;50;0;"Arcueid Brunestud";"FC Rio";1;0;0;2;1;1;0;0;0;85;9
"S1 MD2";"RIO";"2-1";90;6,5;2;80;0;"Jannik Andersen";"Athênai F.C.";1;0;0;1;0;2;2;1;0;79;9
"S1 MD2";"TOK";"2-0";90;7,4;0;100;0;"Tony Yeboah";"Inter London";1;0;1;0;0;1;0;0;0;84;10
"S1 MD2";"LON";"0-2";90;7,5;6;84,62;0;"Pingu Nootazuki";"Tokyo S.C.";1;0;0;2;2;7;2;0;0;90;10
"S1 MD3";"ATH";"1-4";90;6,19;3;42,86;0;"Radek Soboda";"Cairo City";1;0;0;4;1;1;1;0;0;88;11
"S1 MD3";"CAI";"4-1";90;6,61;0;0;0;"Jannik Andersen";"Athênai F.C.";1;0;0;1;0;0;0;0;0;84;11
"S1 MD3";"RIO";"2-1";90;6,61;4;75;0;"Tony Yeboah";"Inter London";1;0;0;1;2;1;0;0;0;92;12
"S1 MD3";"LON";"1-2";90;6,71;5;75;0;"Arcueid Brunestud";"FC Rio";1;0;0;2;2;3;1;0;0;83;12
"S1 MD3";"TOK";"4-0";90;7,51;1;100;0;"Scott Sterling";"Hollywood FC";1;0;1;0;0;2;1;0;0;83;13
"S1 MD3";"HOL";"0-4";90;6,49;12;63,64;0;"Pingu Nootazuki";"Tokyo S.C.";1;0;0;4;6;1;0;0;0;87;13
"S1 MD4";"HOL";"1-2";90;6,57;3;66,67;0;"Jannik Andersen";"Athênai F.C.";1;0;0;2;1;2;1;0;0;87,33;14
"S1 MD4";"ATH";"2-1";90;7,27;7;88,89;0;"Scott Sterling";"Hollywood FC";1;0;0;1;3;4;1;0;0;93;14
"S1 MD4";"TOK";"0-1";90;6,89;3;85,71;0;"Arcueid Brunestud";"FC Rio";1;0;0;1;1;4;1;0;0;85,67;15
"S1 MD4";"RIO";"1-0";90;7,39;2;100;0;"Pingu Nootazuki";"Tokyo S.C.";1;0;1;0;1;0;0;0;0;88,33;15
"S1 MD4";"CAI";"2-4";90;6,11;0;33,33;0;"Tony Yeboah";"Inter London";1;0;0;4;0;2;0;0;0;76,67;16
"S1 MD4";"LON";"4-2";90;7,21;2;80;0;"Radek Soboda";"Cairo City";1;0;0;2;1;7;0;0;0;86;16
"S1 MD5";"RIO";"4-1";90;7;2;75;0;"Radek Soboda";"Cairo City";1;0;0;1;1;2;0;0;0;86,5;17
"S1 MD5";"CAI";"1-4";90;6,6;9;66,67;0;"Seb Henry";"FC Rio";1;0;0;4;4;3;1;0;0;91;17
"S1 MD5";"HOL";"4-1";90;7,28;5;88,89;0;"Tony Yeboah";"Inter London";1;0;0;1;2;5;1;0;0;82,83;18
"S1 MD5";"LON";"1-4";90;6,32;4;42,86;0;"Scott Sterling";"Hollywood FC";1;0;0;4;2;1;0;1;0;83,5;18
"S1 MD5";"TOK";"4-0";90;7,42;0;100;0;"Jannik Andersen";"Athênai F.C.";1;0;1;0;0;4;0;0;0;88,17;19
"S1 MD5";"ATH";"0-4";90;6,32;5;42,86;0;"Pingu Nootazuki";"Tokyo S.C.";1;0;0;4;2;0;1;0;0;86,67;19
"S1 MD6";"TOK";"3-0";90;7,48;1;100;0;"Radek Soboda";"Cairo City";1;0;1;0;0;2;1;0;0;86,7;20
"S1 MD6";"CAI";"0-3";90;6,78;8;70;0;"Pingu Nootazuki";"Tokyo S.C.";1;0;0;3;3;2;2;0;0;87,2;20
"S1 MD6";"RIO";"1-3";90;7,08;7;72,73;0;"Scott Sterling";"Hollywood FC";1;0;0;3;3;4;1;0;0;83,3;21
"S1 MD6";"HOL";"3-1";90;6,7;2;83,33;0;"Arcueid Brunestud";"FC Rio";1;0;0;1;1;4;0;0;0;85,33;21
"S1 MD6";"ATH";"0-0";90;7,4;0;100;0;"Tony Yeboah";"Inter London";1;0;1;0;0;1;0;0;0;82,9;22
"S1 MD6";"LON";"0-0";90;7,4;3;100;0;"Jannik Andersen";"Athênai F.C.";1;0;1;0;1;3;1;0;0;89,3;22
"S1 MD7";"RIO";"0-1";90;6,47;2;66,67;0;"Jannik Andersen";"Athênai F.C.";1;0;0;1;1;1;0;0;0;88,53;23
"S1 MD7";"ATH";"1-0";90;7,38;1;100;0;"Arcueid Brunestud";"FC Rio";1;0;1;0;0;1;1;0;0;85,2;23
"S1 MD7";"HOL";"4-2";90;6,7;6;66,67;0;"Radek Soboda";"Cairo City";1;0;0;2;3;1;0;0;0;86,8;24
"S1 MD7";"CAI";"2-4";90;6,53;2;60;0;"Scott Sterling";"Hollywood FC";1;0;0;4;1;5;0;0;0;85,2;24
"S1 MD7";"TOK";"1-2";90;6,51;2;66,67;0;"Tony Yeboah";"Inter London";1;0;0;2;1;3;0;1;0;80,93;25
